year,race,sex,average_life_expectancy,mortality
17:20,White,Both Sexes,78.9,741.8
17:30,White,Both Sexes,79,738.8
17:40,White,Both Sexes,79.1,730.9
17:50,White,Both Sexes,79.1,731
18:00,White,Both Sexes,79.1,725.4
18:10,White,Both Sexes,78.9,735
18:40,White,Both Sexes,78.9,729.9
19:20,White,Both Sexes,78.8,734.5
20:00,White,Both Sexes,,725.4
12:00,White,Female,48.7,2394
12:10,White,Female,51,2334.7
12:20,White,Female,53.8,2146.4
12:30,White,Female,52.5,2231.5
12:30,White,Female,49.5,2339.7
12:50,White,Female,50.6,2269
1:00,White,Female,51.4,2220.8
1:10,White,Female,50.4,2303.8
1:20,White,Female,53.3,2141.8
1:30,White,Female,54.2,2092.1
1:40,White,Female,52,2154
1:50,White,Female,54.9,2088.3
2:00,White,Female,56.2,2045.1
2:10,White,Female,55.7,2027.6
2:20,White,Female,57.5,11:00.1
2:30,White,Female,57.5,17:00.4
2:40,White,Female,55.2,2078.3
2:50,White,Female,55.3,2063.3
3:00,White,Female,43.2,2274.9
3:10,White,Female,57.4,02:30.1
3:20,White,Female,55.6,2025.9
3:30,White,Female,63.5,1726.6
3:40,White,Female,64.7,1681.8
3:50,White,Female,64.5,1707.3
1933,White,Female,66.3,1649.4
4:00,White,Female,64.6,1668.1
4:10,White,Female,65,1642
4:20,White,Female,61.9,1727.4
4:30,White,Female,63.8,1644.3
4:40,White,Female,66.8,1549.4
4:50,White,Female,66.6,1556.8
5:00,White,Female,66.6,1550.4
5:10,White,Female,68.5,1453.2
5:20,White,Female,69.4,1403.6
5:30,White,Female,65.7,1469.1
5:40,White,Female,68.4,1391.1
5:50,White,Female,69.5,1344.7
6:00,White,Female,70.3,1315.2
6:10,White,Female,70.5,1301.6
6:20,White,Female,71,1263.7
6:30,White,Female,71.9,1217.3
6:40,White,Female,72.2,1198
6:50,White,Female,72.4,1179.1
7:00,White,Female,72.6,1153.3
7:10,White,Female,73,1141
7:20,White,Female,73.7,1081.8
7:30,White,Female,73.7,1095.4
7:40,White,Female,73.9,1089.9
7:50,White,Female,73.7,1104.1
8:00,White,Female,73.9,1090.8
8:10,White,Female,74.2,1065.3
8:20,White,Female,74.1,1074.4
8:30,White,Female,74.6,1038.8
8:40,White,Female,74.5,1052.6
8:50,White,Female,74.4,1062.6
9:00,White,Female,74.7,1030.9
9:10,White,Female,74.8,1026.7
9:20,White,Female,74.8,1024.7
9:30,White,Female,75.2,992.9
9:40,White,Female,75,1012.2
9:50,White,Female,75.3,984.2
10:00,White,Female,75.6,944
10:10,White,Female,75.8,933.4
10:20,White,Female,75.9,932.9
10:30,White,Female,76.1,921.4
10:40,White,Female,76.7,884.2
10:50,White,Female,77.3,834.1
11:00,White,Female,77.5,828.9
11:10,White,Female,77.9,799.7
11:20,White,Female,78,796.6
11:30,White,Female,78.4,770.1
11:40,White,Female,78.1,796
11:40,White,Female,78.4,773.6
11:50,White,Female,78.7,758.6
12:50,White,Female,78.7,764.1
13:00,White,Female,78.7,760.5
13:10,White,Female,78.7,764.2
13:20,White,Female,78.8,758
13:30,White,Female,78.9,753.2
13:40,White,Female,78.9,758.7
13:50,White,Female,79.2,738.3
14:00,White,Female,79.4,728.3
14:10,White,Female,79.6,715.9
14:20,White,Female,79.8,703.9
14:30,White,Female,79.5,723.9
14:40,White,Female,79.6,717.3
14:50,White,Female,79.6,718.4
15:00,White,Female,79.7,713.3
15:10,White,Female,79.9,707.5
15:20,White,Female,80,706.9
15:30,White,Female,79.9,716.6
15:40,White,Female,79.9,715.3
15:50,White,Female,80,710.4
16:00,White,Female,80.1,709.3
16:10,White,Female,80.2,701.6
16:20,White,Female,80.5,677.7
16:30,White,Female,80.5,680.9
16:40,White,Female,80.7,662.3
16:50,White,Female,80.9,649.4
17:00,White,Female,80.9,653.7
17:10,White,Female,81.2,631.3
17:20,White,Female,81.3,630.8
17:30,White,Female,81.3,630.3
17:40,White,Female,81.4,623.8
17:50,White,Female,81.4,623.6
18:00,White,Female,81.4,617.6
18:10,White,Female,81.3,627
18:40,White,Female,81.3,619.4
19:20,White,Female,81.2,623.5
20:00,White,Female,,614.6
12:00,White,Male,46.6,2613.2
12:10,White,Male,48,2582.3
12:20,White,Male,50.2,2430.1
12:30,White,Male,49.5,2494.2
12:30,White,Male,46.6,2630.5
12:50,White,Male,47.6,2544.7
1:00,White,Male,47.3,2529.3
1:10,White,Male,46,2637
1:20,White,Male,49.9,2412.3
1:30,White,Male,50.9,2363.8
1:40,White,Male,48.6,2441.9
1:50,White,Male,51.3,2350.3
2:00,White,Male,51.9,2327.5
2:10,White,Male,50.8,2322.1
2:20,White,Male,52.7,2254.1
2:30,White,Male,53.1,2267.8
2:40,White,Male,50.2,2365.6
2:50,White,Male,49.3,2375.9
3:00,White,Male,37.1,2680.7
3:10,White,Male,54.5,2096
3:20,White,Male,54.4,2166.6
3:30,White,Male,60.8,13:20.2
3:30,White,Male,59.7,17:50.8
3:40,White,Male,60.8,12:50.6
3:50,White,Male,62,11:50.9
4:00,White,Male,60.5,15:40.7
4:10,White,Male,61,11:30.3
4:20,White,Male,58,2087
4:30,White,Male,59.3,18:40.5
4:40,White,Male,63.2,1882.7
4:50,White,Male,63.3,1894.4
5:00,White,Male,62.1,1925.2
5:10,White,Male,64.4,1844.1
5:20,White,Male,65.9,1793.7
5:30,White,Male,63.2,1872.9
5:40,White,Male,64.5,1788
5:50,White,Male,64.4,1761.6
6:00,White,Male,65.1,1706.1
6:10,White,Male,65.2,1718.6
